Ä,Division,Group/Bracket,Round,Match format,Squad,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Tufts D1,UNC Wilmington D1 Open A,Tufts D1 Open A,UNC Wilmington D1 Open A,21,15,,,,,Jake Dooley,Noah Kopetic,Benjamin Westphal,Jake Stoller
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Tufts D1,UNC Wilmington D1 Open B,Tufts D1 Open B,UNC Wilmington D1 Open B,21,17,,,,,Polk Denmark,Sam Weber,Bassil Chughtai,Mark Fedio
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Tufts D1,UNC Wilmington D1 Open C,Tufts D1 Open C,UNC Wilmington D1 Open C,21,5,,,,,Michael Creedon,Zack Glew,Freddy Kniker,Nathaniel Page
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Tufts D1,UNC Wilmington D1 Coed,Tufts D1 Coed,Tufts D1 Coed,9,21,,,,,Claire Schnee,Jason Lyons,Dylan Block,Dylan Duda
Pool Play,Division 1 Women's,Pool C,1,Single game,UNC Wilmington D1 vs Tufts D1,UNC Wilmington D1 Women's,Tufts D1 Women's,Tufts D1 Women's,9,21,,,,,Julie Gibbs,Tristen Rogers,Abigail Bayog,Adele Beamer
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Siena/RPI D1,UNC Wilmington D1 Open A,Siena/RPI D1 Open A,UNC Wilmington D1 Open A,21,16,,,,,Jake Dooley,Noah Kopetic,Joshua Aguilar,Noah Lerner-Morelle
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Siena/RPI D1,UNC Wilmington D1 Open B,Siena/RPI D1 Open B,UNC Wilmington D1 Open B,21,7,,,,,Polk Denmark,Sam Weber,Daniel Krupp,Michael Vilardo
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Siena/RPI D1,UNC Wilmington D1 Open C,Siena/RPI D1 Open C,UNC Wilmington D1 Open C,22,20,,,,,Michael Creedon,Zack Glew,Andrew Higginbotham,Matthew Brady
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs Siena/RPI D1,UNC Wilmington D1 Coed,Siena/RPI D1 Coed,Siena/RPI D1 Coed,5,21,,,,,Claire Schnee,Jason Lyons,Cole Bombard,Megan Dwire
Pool Play,Division 1 Women's,Pool C,1,Single game,UNC Wilmington D1 vs Siena/RPI D1,UNC Wilmington D1 Women's,Siena/RPI D1 Women's,Siena/RPI D1 Women's,11,21,,,,,Julie Gibbs,Tristen Rogers,Emily Stewart,Kelsey Higgins
